Band,Song,Guitarist,Technique,POPULARITY,RELEASE_DATE,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Singer,Bassist,Drummer,Pianist,Drums_Energy_Level,Piano_Energy_Level,Bass_Energy_Level,Drums_BPM_Level,Piano_BPM_Level,Bass_BPM_Level,Relevance_Drums,Relevance_Bass,Relevance_Piano,Instruments_Difficulty
Silverstein,Our Song,['PaulMarcRousseau'],['Overdriven Guitar'],46,2022,0.455,0.957,-3.504,0.116,0.000471,0.00178,0.272,0.457,165.083,191000,['ShaneTold'],['PaulKoehler'],[],[],Medium,Low,Low,Low,Medium,Medium,6.0,2.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Damageplan,Wake Up,['Dime Lead'],['Distortion Guitar'],35,2004,0.448,0.955,-6.602,0.0775,0.00014,0.799,0.36,0.296,126.798,269427,,,,,Low,Low,Low,Medium,High,High,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Advanced', 'bass_Advanced']"
Metallica,Master of puppets,['Extras'],['Distortion Guitar'],78,1986,0.539,0.828,-9.108,0.035,0.00067,0.421,0.154,0.562,105.25,515387,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[],Low,Low,Low,Medium,Medium,Medium,2.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Slipknot,Vendetta,['Jim Root #4'],['Distortion Guitar'],55,2008,0.338,0.974,-2.426,0.0648,0.00017,0.00104,0.0271,0.459,135.472,315507,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Low,Low,Low,Medium,Medium,Medium,3.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Bleed From Within,Levitate,['Rhythm L'],['Distortion Guitar'],50,2022,0.34,0.977,-4.947,0.145,0.000311,0.468,0.104,0.118,152.056,270800,,,,,Low,Low,Low,Medium,Medium,Medium,3.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Bleed From Within,I Am Damnation,['Clean'],['Distortion Guitar'],49,2021,0.476,0.966,-4.228,0.0727,0.000662,0.000212,0.0538,0.227,92.506,286000,,,,,High,Low,Low,Medium,Medium,Medium,7.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
I The Mighty,Lady of Death,,"['Distortion Guitar', 'Drive Guitar 1']",32,2015,0.417,0.926,-3.982,0.108,0.00199,0.0,0.372,0.286,143.074,227080,,,,,High,Low,Low,Medium,Medium,Medium,,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Acid Witch,Turntable Terror,['Rythym'],['Distortion Guitar'],9,2020,0.442,0.469,-14.93,0.0332,0.0029,0.877,0.126,0.35,131.191,207653,,,,,Low,Low,Low,Medium,Medium,High,1.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Acid Witch,Nain Rouge The Red Dwarf,,"['Distortion Guitar', 'Lead Guitar']",13,2017,0.222,0.572,-15.524,0.0495,4.98e-05,0.7,0.253,0.212,173.984,239107,,,,,Low,Low,Low,Medium,Low,Medium,4.0,0.0,,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Acid Witch,Live Forever,['Rythym'],['Distortion Guitar'],12,2011,0.409,0.921,-3.502,0.0514,7.74e-05,0.375,0.0515,0.438,110.065,239987,,,,,Low,Low,Low,Medium,Low,Medium,3.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Slipknot,Solway Firth,['Mick Thomson'],['Distortion Guitar'],62,2019,0.214,0.969,-3.924,0.106,0.000347,0.246,0.138,0.0369,159.948,355540,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Medium,Low,Low,Medium,Medium,Medium,5.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Slipknot,Nero Forte,['Jim Root'],['Distortion Guitar'],69,2019,0.336,0.978,-2.358,0.0846,0.000437,0.000525,0.138,0.496,129.842,315177,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Low,Low,Low,Medium,Medium,High,3.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Slayer,Pride In Prejudice,"['KerryKing', 'JeffHanneman(1964-2013)', 'GaryHolt']","['Distortion Guitar', 'Rhythm Guitar']",44,2015,0.214,0.935,-7.801,0.0659,4.94e-05,0.0121,0.123,0.263,153.303,254072,['TomAraya'],"['DaveLombardo', 'PaulBostaph']",[],[],Low,Low,Low,Medium,Medium,Medium,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Slipknot,All Out Life,['Mick Thomson'],['Distortion Guitar'],64,2018,0.499,0.97,-2.838,0.116,0.000683,0.136,0.0871,0.0506,106.558,340132,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Medium,Low,Low,Medium,Medium,Medium,4.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Slipknot,The Negative One,['Mick Thomson'],['Distortion Guitar'],58,2014,0.505,0.979,-1.665,0.0715,0.0002,0.00135,0.334,0.312,108.2,325171,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Medium,Low,Low,Medium,Low,Medium,5.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Slipknot,Custer,['Mick Thomson'],['Distortion Guitar'],74,2014,0.407,0.98,-1.58,0.107,0.00174,0.000112,0.119,0.537,131.066,254467,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Medium,Low,Low,Medium,Low,High,6.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Advanced']"
Slipknot,Killpop,['Jim Root'],['Distortion Guitar'],63,2014,0.306,0.926,-2.754,0.0912,0.000311,0.000644,0.0776,0.483,158.47,225067,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Medium,Low,Low,Medium,Medium,Medium,4.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Slipknot,AOV,['Mick Thomson'],['Distortion Guitar'],57,2014,0.536,0.988,-1.777,0.0671,0.000507,6.45e-05,0.366,0.231,130.777,332907,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Medium,Low,Low,Medium,Low,Medium,4.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Slipknot,All Hope Is Gone,['Jim Root'],['Distortion Guitar'],56,2008,0.556,0.996,-2.517,0.171,0.00221,0.000142,0.265,0.206,100.061,284760,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Low,Low,Low,Low,Low,Medium,3.0,0.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Profiler,Ninety Three,,"['Distortion Guitar', 'Left Guitar']",26,2022,0.566,0.954,-4.853,0.0725,0.00178,9.35e-05,0.294,0.404,102.487,260040,,,,,Medium,Low,Low,Medium,Medium,Medium,5.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Emille's Moonlight Serenade,RED RIBBON,['Harmony'],['Distortion Guitar'],1,2018,0.416,0.92,-1.592,0.0528,0.00597,0.0,0.136,0.561,172.884,355000,,,,,Low,Low,Low,Medium,Medium,High,2.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Skillet,Fire And Fury,"['KoreyCooper', 'SethMorrison', 'BenKasica']",['Distortion Guitar'],42,2013,0.556,0.779,-3.537,0.0421,0.0145,0.0,0.131,0.384,120.0,236480,['JohnCooper'],"['JenLedger', 'LoriPeters']",[],[],Low,Low,Low,Low,Medium,Medium,4.0,1.0,2.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Skillet,Falling In the Black,"['KoreyCooper', 'SethMorrison', 'BenKasica']","['Overdriven Guitar', 'Guitar Add. #3']",59,2006,0.501,0.942,-3.127,0.0905,0.00197,0.0,0.182,0.461,92.967,210027,['JohnCooper'],"['JenLedger', 'LoriPeters']",[],[],Low,Low,Low,Medium,High,Medium,3.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Skillet,Comatose Live,"['KoreyCooper', 'SethMorrison', 'BenKasica']","['Distortion Guitar', 'Guitar 2']",24,2008,0.351,0.975,-2.615,0.102,0.0535,0.0,0.887,0.286,170.104,232467,['JohnCooper'],"['JenLedger', 'LoriPeters']",[],[],Low,Low,Low,Low,Low,Medium,3.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Skillet,Better Than Drugs,"['KoreyCooper', 'SethMorrison', 'BenKasica']","['Distortion Guitar 2', 'Electric Guitar']",46,2006,0.394,0.878,-3.418,0.0696,0.000284,0.0,0.0583,0.592,176.173,237733,['JohnCooper'],"['JenLedger', 'LoriPeters']",[],[],Low,Low,Low,Low,Medium,High,3.0,1.0,1.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Three Days Grace,Redemption,['BarryStock'],['Distortion Guitar'],54,2022,0.616,0.863,-2.808,0.0454,0.00578,0.0,0.304,0.288,113.009,190800,"['AdamGontier', 'MattWalst']",['BradWalst'],['NeilSanderson'],[],Medium,Low,Low,Medium,Medium,Medium,6.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Motionless In White,Slaughterhouse,"['RickyHorror', 'RyanSitkowski']",['Distortion Guitar'],59,2022,0.304,0.987,-2.578,0.193,6.13e-05,0.000162,0.371,0.153,149.992,263948,['ChrisMotionless'],"['DevinSola', 'JustinMorrow']","['VinnyMauro', 'AngeloParente']",['JoshBalz'],High,Low,Medium,Medium,Medium,Medium,8.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Slipknot,Dead Memories,['Jim Root (#4'],['Electric Guitar (clean)'],64,2008,0.547,0.963,-2.337,0.0744,0.000443,0.0251,0.353,0.441,130.061,268587,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Low,Low,Low,Medium,Medium,High,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Slipknot,The Nameless,['Mick Thomson'],['Distortion Guitar'],55,2004,0.338,0.983,-2.429,0.18,0.0155,0.000743,0.502,0.22,105.938,268040,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Low,Low,Low,Medium,Low,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Bring Me The Horizon,Pray For Plagues,['LeeMalia'],"['Distortion Guitar', 'Guitar (Left)']",47,2006,0.307,0.98,-4.186,0.226,0.0148,0.00813,0.67,0.132,130.244,261747,['OliverSykes'],['MattKean'],['MattNicholls'],['JordanFish'],Medium,Low,Low,Medium,Low,Medium,4.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Deadwater Drowning,Getting Sentimental On That Ass,,"['Distortion Guitar', 'Guitar R']",6,2003,0.318,0.94,-5.485,0.195,6.13e-05,0.00789,0.31,0.126,103.231,229692,,,,,Medium,Low,Low,Medium,Medium,Medium,6.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Slipknot,The Blister Exist,['Jim Root #4'],['Distortion Guitar'],61,2004,0.392,0.993,-2.535,0.134,0.000568,0.0067,0.272,0.351,95.298,319427,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Low,Low,Low,Low,Medium,Medium,1.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Silence Dead,Дыхание сердец,,['Distortion Guitar'],0,2015,0.499,0.987,-2.78,0.0641,0.000214,0.00614,0.309,0.445,119.997,286869,,,,,Low,Low,Low,Low,Medium,Medium,1.0,0.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Slipknot,The Chapeltown Rag,['Jim Root #4'],['Distortion Guitar'],60,2021,0.516,0.997,-2.43,0.249,0.00188,0.00087,0.17,0.0762,95.038,291660,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Low,Low,Low,Low,High,Medium,3.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Architects,when we were young,"['TomSearle(1987-2016)', 'AdamChristianson']","['Distortion Guitar', 'Dist. Guitar(Right)']",62,2022,0.443,0.938,-3.01,0.106,4.42e-05,5.71e-06,0.32,0.439,169.995,193886,"['MattJohnson', 'SamCarter']",['DanSearle'],[],[],Medium,Low,Low,Low,Low,Medium,5.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Drunad,Puzdreanuzo,,['Distortion Guitar 1'],0,2022,0.344,0.937,-3.67,0.0746,0.0532,0.764,0.464,0.265,95.587,170215,,,,,Medium,Low,Low,Low,Low,Medium,5.0,3.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Mushmellow,The Way You Look at Me,['Track 5'],['Distortion Guitar'],16,2008,0.566,0.911,-4.066,0.0401,0.00149,0.000347,0.107,0.194,89.94,197547,,,,,Medium,Low,Low,Low,Low,Medium,4.0,1.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Its Always You,Local Milfs Wanted,,['Distortion Guitar'],1,2022,0.329,0.786,-5.573,0.0977,0.00466,0.0,0.303,0.527,180.04,184731,,,,,Medium,Low,Low,Low,Medium,Medium,7.0,4.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Falling In Reverse,Guillotine IV,"['JackyVincent', 'DerekJones(1984-2020)', 'ChristianThompson', 'MaxGeorgiev']",['Distortion Guitar'],43,2015,0.398,0.993,-2.991,0.249,0.000108,4.88e-06,0.319,0.342,167.08,215849,['RonnieRadke'],"['ZakkSandler', 'TylerBurgess']",['RyanSeaman'],[],Medium,Low,Low,Medium,Medium,Medium,6.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Unk,unt,,['Electric Guitar (clean)'],25,2019,0.806,0.564,-11.368,0.0489,0.0155,0.885,0.103,0.46,125.01,495239,,,,,Medium,Low,Low,Medium,Medium,Low,7.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Beginner']"
Silverstein,It's Over,['PaulMarcRousseau'],"['Distortion Guitar', 'Lead Guitar']",48,2021,0.487,0.935,-2.946,0.092,0.00232,2.95e-06,0.386,0.661,129.973,203800,['ShaneTold'],['PaulKoehler'],[],[],Medium,Low,Low,Medium,High,High,4.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Advanced', 'bass_Advanced']"
Silverstein,The Afterglow,['PaulMarcRousseau'],"['Overdriven Guitar', 'Lead Guitar 1']",58,2017,0.476,0.964,-4.683,0.127,0.00556,0.0,0.268,0.724,167.112,188886,['ShaneTold'],['PaulKoehler'],[],[],Medium,Low,Low,Low,Medium,Medium,5.0,1.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Trautenberk,Lunt,['Kytara'],['Distortion Guitar'],39,2018,0.482,0.949,-3.814,0.159,0.0152,0.0,0.0678,0.508,163.937,231613,,,,,Low,Low,Low,Low,Medium,Medium,3.0,1.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Sykofreak,Heroin,['Name'],['Distortion Guitar'],7,2022,0.189,0.928,-3.446,0.0717,3.14e-06,0.19,0.352,0.616,170.103,143643,,,,,Medium,Low,Medium,High,Medium,Medium,6.0,6.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Phinehas,Thorns,,['Distortion Guitar 1'],36,2021,0.214,0.976,-3.631,0.224,0.00186,8.72e-05,0.134,0.0851,93.954,279095,,,,,Medium,Low,Low,Medium,Medium,Medium,7.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
August Burns Red,Boys Of Fall,,"['Distortion Guitar', 'Extra Guitar 2']",23,2011,0.216,0.994,-4.041,0.108,2.01e-05,0.155,0.31,0.204,113.923,268813,,,,,Medium,Low,Low,Medium,Medium,Medium,4.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
August Burns Red,Meddler,,"['Distortion Guitar', 'Lead Guitar 1']",45,2009,0.189,0.975,-4.113,0.169,6.15e-06,0.738,0.155,0.291,148.916,233787,,,,,Medium,Low,Low,High,Medium,High,4.0,2.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
August Burns Red,Spirit Breaker,,"['Electric Guitar (jazz)', 'Rhythm Guitar 1']",35,2013,0.355,0.958,-5.636,0.0937,9.15e-05,0.557,0.11,0.233,100.06,291533,,,,,Low,Low,Low,Medium,Low,Medium,3.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
August Burns Red,Cutting the Ties,,"['Distortion Guitar', 'Lead Guitar 1']",27,2011,0.272,0.979,-4.115,0.0859,8.06e-05,0.113,0.262,0.277,110.857,302787,,,,,Low,Low,Low,Low,Low,Medium,3.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Seven Deadly Sins,Lost,,"['Distortion Guitar', 'Rhythm Guitar']",0,2009,0.473,0.99,-1.386,0.0455,0.0599,0.000229,0.0766,0.607,175.933,223653,,,,,Medium,Low,Low,Low,Low,Medium,3.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Royal Blood,Typhoons,['BenThatcher'],['Distortion Guitar'],58,2021,0.601,0.723,-4.364,0.0384,0.000347,0.0011,0.346,0.581,114.991,236933,['MikeKerr'],[],[],[],Medium,Low,Low,Medium,Medium,Medium,8.0,4.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Rom,Coffee,,"['Distortion Guitar', 'Rhythm Guitar']",8,2021,0.493,0.166,-17.008,0.053,0.856,0.964,0.0856,0.129,147.008,124820,,,,,Low,Low,Low,Medium,Medium,Medium,,7.0,,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Fit For A King,Skin & Bones,,['Electric Guitar (jazz)'],38,2013,0.459,0.773,-5.513,0.0366,0.00914,3.93e-06,0.103,0.164,119.877,236760,,,,,Low,Low,Low,Medium,Medium,Medium,4.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Lithium,Dive,['Tom W.'],['Distortion Guitar'],0,2019,0.742,0.217,-19.697,0.0359,0.0229,0.886,0.127,0.189,106.061,170162,,,,,Low,Low,Medium,Medium,Medium,High,10.0,,3.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Disturbed,Hey You,['Lead'],['Distortion Guitar'],67,2022,0.5,0.982,-3.496,0.0727,4.72e-05,4.28e-05,0.0447,0.507,103.033,268482,['DavidDraiman'],"['JohnMoyer', 'SteveKmak']",['MikeWengren'],[],Medium,Low,Low,Medium,Medium,Medium,6.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Orion,V,,"['Distortion Guitar', 'Lead Guitar']",49,2020,0.507,0.0711,-21.988,0.0697,0.979,0.000129,0.235,0.418,71.907,79073,,,,,Low,Low,Low,Medium,Medium,Medium,0.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Galneryus,Brutal Spiral of Emotions,['Lead 1'],['Distortion Guitar'],23,2017,0.235,0.905,-3.086,0.0842,0.00334,2.05e-05,0.374,0.189,150.056,688760,,,,,Medium,Low,Low,Medium,Medium,Medium,5.0,2.0,1.0,"['drums_Intermidiate', 'guitar_Advanced', 'piano_Intermidiate', 'bass_Intermidiate']"
Staind,Wannabe,['Higher octave rhythm'],['Distortion Guitar'],32,2011,0.515,0.904,-4.88,0.0428,0.000484,0.0391,0.147,0.276,93.027,229333,,,,,Low,Low,Low,Medium,Low,Medium,3.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Its Always You,Making Music for Toxic Men,,"['Electric Guitar (jazz)', 'Clean Rhythm Guitar']",0,2022,0.371,0.784,-7.063,0.0722,0.553,0.00746,0.171,0.56,199.407,177231,,,,,Medium,Low,Medium,Medium,Medium,Medium,6.0,4.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Almost Down,this song,['Murilo'],['Overdriven Guitar'],1,2016,0.448,0.896,-2.242,0.0506,0.000484,0.0203,0.0913,0.308,94.869,171309,,,,,Medium,Low,Low,Low,Low,Medium,4.0,2.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Almost Down,the words,['Gustavo'],['Electric Guitar (jazz)'],1,2016,0.209,0.855,-2.491,0.0424,6.06e-05,0.37,0.125,0.414,82.536,234319,,,,,Medium,Low,Low,Low,Low,Medium,4.0,3.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Wulfgar,Blood Of Kvasir,,"['Distortion Guitar', 'Guitar III']",3,2021,0.498,0.863,-8.11,0.0392,2.41e-05,0.0666,0.271,0.134,110.011,257727,,,,,Low,Low,Low,Medium,Medium,Medium,3.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Red Vox,Choking on the Spite,['Vinny'],['Overdriven Guitar'],34,2022,0.387,0.855,-9.356,0.0548,8.88e-05,0.0663,0.327,0.456,162.012,163883,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Masaki,Speed,,['Distortion Guitar 1'],0,2016,0.52,0.862,-8.103,0.0316,0.146,0.718,0.0871,0.507,129.999,230597,,,,,Low,Low,Low,Low,Medium,Medium,1.0,1.0,2.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Magnolia Park,Serious,['Tristan'],['Distortion Guitar'],41,2022,0.596,0.912,-3.872,0.0539,0.00102,0.0,0.225,0.402,114.023,167493,,,,,High,Low,Low,Medium,Medium,Medium,9.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Relentless Flood,Echoes,,"['Distortion Guitar', 'Overdriven Guitar']",21,2022,0.381,0.904,-4.453,0.0882,0.00125,0.0,0.0703,0.311,144.35,226545,,,,,Low,Low,Low,Medium,Medium,Medium,3.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Good Charlotte,Lifestyles of the Rich and Famous,['Rhythm'],['Overdriven Guitar'],69,2002,0.62,0.93,-3.685,0.0374,0.00043,0.0,0.0686,0.609,106.22,190173,['JoelMadden'],['PaulThomas'],['DeanButterworth'],[],Medium,Low,Low,Medium,Medium,Medium,4.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Ministry,Animosity,,['Distortion Guitar'],18,2003,0.393,0.994,-4.912,0.0791,9.18e-05,0.635,0.407,0.693,152.011,276667,,,,,Low,Low,Low,High,Medium,Medium,2.0,1.0,0.0,"['drums_Advanced', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Nirvana,Blew,,"['Distortion Guitar', 'Guitar 1']",61,1989,0.411,0.882,-6.618,0.0556,5.65e-06,0.0147,0.298,0.531,129.848,174134,,,,,Medium,Low,Low,Medium,Medium,Medium,5.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Staind,Not Again,,['Distortion Guitar 1'],40,2011,0.552,0.853,-3.841,0.0418,0.000125,0.00193,0.0611,0.378,129.988,274560,,,,,Medium,Low,Low,Medium,Medium,Medium,4.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
