Band,Song,Player,Technique,Difficulty,Score
Composers of MSB,Thrazzy,nan,['Distortion Guitar'],Intermediate,3/8
Composers of MSB,Binary Groove,Track 2,['Overdriven Guitar'],Intermediate,3/8
Composers of MSB,In A Stone Casket,Track 2,['Distortion Guitar'],Intermediate,3/8
Composers of MSB,Christina Aguilera In The Land Of The Inabilitatians,nan,"['Overdriven Guitar', 'Guitar 2']",Intermediate,5/8
Composers of MSB,Softly,nan,"['Overdriven Guitar', 'Lead Guitar']",Intermediate,3/8
Dreadu,Infinity,dreadu #1,['Distortion Guitar'],Intermediate,4/8
Imperial Sodomizers Of Bifara ISOB,Daathh,nan,"['Distortion Guitar', 'Backguitar']",Intermediate,3/8
Ben Koehler,Dont Know What To Call It,nan,['Distortion Guitar'],Intermediate,3/8
Nickelback,See You At The Show,nan,"['Distortion Guitar', 'Guitar (Ryan Peake)']",Intermediate,3/8
Ozz82,Ss1,nan,['Distortion Guitar'],Intermediate,3/8
Profiction,Grey Shell,nan,['Distortion Guitar'],Intermediate,3/8
Profiction,Denounce Me,nan,"['Overdriven Guitar', 'Guitar 2!']",Intermediate,3/8
Profiction,Through The Eyes,Steve,['Distortion Guitar'],Intermediate,3/8
The Rage Inside,The Rage Inside Me,nan,['Distortion Guitar'],Intermediate,3/8
Brandyn Ruesink,Huey,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
David Soliz,Sangrin Harmonics,Track 2,['Distortion Guitar'],Intermediate,3/8
Scalpel Velikicirkussum,Oriental Hardcore,Piste 4,['Distortion Guitar'],Intermediate,4/8
Coaltar Of The Deepers,Dead By Dawn,nan,"['Distortion Guitar', 'Guitar II']",Beginner,2/8
Chevelle,Family System,Pete Loeffler,"['Clean Guitar', 'Electric Guitar (jazz)']",Intermediate,3/8
Chevelle,Dont Fake This,Pete Loeffler,"['Clean Guitar', 'Electric Guitar (jazz)']",Beginner,1/8
Dreadu,Meomries,dreadu,['Electric Guitar (clean)'],Intermediate,3/8
Evanescence,Imaginary,nan,"['Distortion Guitar', 'Guitar (Studio)']",Beginner,1/8
Fated Circles,Blackened Angel,Joe,['Electric Guitar (jazz)'],Beginner,2/8
Fantomas,Der Golem,Guitar [Buzz Osbourne,['Distortion Guitar'],Intermediate,3/8
Nickelback,Not Leavin' Yet,Chad drop B,['Distortion Guitar'],Intermediate,3/8
Nickelback,Do This Anymore,nan,"['Distortion Guitar', 'Acoustic Guitar (steel)']",Intermediate,3/8
Ruger,Pro Lyubov,Gtr. 1,['Distortion Guitar'],Intermediate,3/8
Slippy,Fate,Max,['Distortion Guitar'],Intermediate,3/8
Slippy,Moan,G 2,['Overdriven Guitar'],Intermediate,3/8
Theory Of A Deadman,The Last Song,Acustic,['Acoustic Guitar (steel)'],Beginner,2/8
The Kills,Black Balloon,Alison,['Acoustic Guitar (steel)'],Beginner,1/8
The Kills,Love Is A Deserter,Jamie Lead,['Overdriven Guitar'],Intermediate,3/8
Chevelle,Brainiac,Lead 3,['Distortion Guitar'],Beginner,2/8
Theory Of A Deadman,Point To Prove,Track 2,['Electric Guitar (jazz)'],Intermediate,3/8
Chevelle,An Evening With El Diablo,nan,"['Electric Guitar (clean)', '+Guitar']",Beginner,2/8
Chevelle,Forfeit,Fills,['Distortion Guitar'],Beginner,1/8
Chevelle,Wonder What's Next,nan,['Distortion Guitar 2'],Beginner,2/8
Judson,Escape,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
